start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
0,0,bolus,43.25,0,0,0,0,NaN,NaN
60,60,bolus,43.25,0,0,0,0,NaN,NaN
120,120,bolus,43.25,0,0,0,0,NaN,NaN
180,180,bolus,43.25,0,0,0,0,NaN,NaN
240,240,bolus,43.25,0,0,0,0,NaN,NaN
300,300,bolus,43.25,0,0,0,0,NaN,NaN
360,360,bolus,43.25,0,0,0,0,NaN,NaN
420,420,bolus,43.25,0,0,0,0,NaN,NaN
480,480,bolus,43.25,0,0,0,0,NaN,NaN
540,540,bolus,43.25,0,0,0,0,NaN,NaN
600,600,bolus,43.25,0,0,0,0,NaN,NaN
660,660,bolus,43.25,0,0,0,0,NaN,NaN
720,720,bolus,43.25,0,0,0,0,NaN,NaN
780,780,bolus,43.25,0,0,0,0,NaN,NaN
840,840,bolus,43.25,0,0,0,0,NaN,NaN
900,900,bolus,43.25,0,0,0,0,NaN,NaN
960,960,bolus,43.25,0,0,0,0,NaN,NaN
1020,1020,bolus,43.25,0,0,0,0,NaN,NaN
1080,1080,bolus,43.25,0,0,0,0,NaN,NaN
1140,1140,bolus,43.25,0,0,0,0,NaN,NaN
1200,1200,bolus,43.25,0,0,0,0,NaN,NaN
1260,1260,bolus,43.25,0,0,0,0,NaN,NaN
1320,1320,bolus,43.25,0,0,0,0,NaN,NaN
1380,1380,bolus,43.25,0,0,0,0,NaN,NaN
1440,1440,bolus,43.25,0,0,0,0,NaN,NaN
1500,1500,bolus,43.25,0,0,0,0,NaN,NaN
1560,1560,bolus,43.25,0,0,0,0,NaN,NaN
1620,1620,bolus,43.25,0,0,0,0,NaN,NaN
1680,1680,bolus,43.25,0,0,0,0,NaN,NaN
1740,1740,bolus,43.25,0,0,0,0,NaN,NaN
1800,1800,bolus,43.25,0,0,0,0,NaN,NaN
1860,1860,bolus,43.25,0,0,0,0,NaN,NaN
1920,1920,bolus,43.25,0,0,0,0,NaN,NaN
1980,1980,bolus,43.25,0,0,0,0,NaN,NaN
2040,2040,bolus,43.25,0,0,0,0,NaN,NaN
2100,2100,bolus,43.25,0,0,0,0,NaN,NaN
2160,2160,bolus,43.25,0,0,0,0,NaN,NaN
2220,2220,bolus,43.25,0,0,0,0,NaN,NaN
2280,2280,bolus,43.25,0,0,0,0,NaN,NaN
2340,2340,bolus,43.25,0,0,0,0,NaN,NaN
2400,2400,bolus,43.25,0,0,0,0,NaN,NaN
2460,2460,bolus,43.25,0,0,0,0,NaN,NaN
2520,2520,bolus,43.25,0,0,0,0,NaN,NaN
2580,2580,bolus,43.25,0,0,0,0,NaN,NaN
2640,2640,bolus,43.25,0,0,0,0,NaN,NaN
2700,2700,bolus,43.25,0,0,0,0,NaN,NaN
2760,2760,bolus,43.25,0,0,0,0,NaN,NaN
2820,2820,bolus,43.25,0,0,0,0,NaN,NaN
2880,2880,bolus,43.25,0,0,0,0,NaN,NaN
2940,2940,bolus,43.25,0,0,0,0,NaN,NaN
3000,3000,bolus,43.25,0,0,0,0,NaN,NaN
3060,3060,bolus,43.25,0,0,0,0,NaN,NaN
3120,3120,bolus,43.25,0,0,0,0,NaN,NaN
3180,3180,bolus,43.25,0,0,0,0,NaN,NaN
3240,3240,bolus,43.25,0,0,0,0,NaN,NaN
3300,3300,bolus,43.25,0,0,0,0,NaN,NaN
3360,3360,bolus,43.25,0,0,0,0,NaN,NaN
3420,3420,bolus,43.25,0,0,0,0,NaN,NaN
3480,3480,bolus,43.25,0,0,0,0,NaN,NaN
3540,3540,bolus,43.25,0,0,0,0,NaN,NaN
3600,3600,bolus,43.25,0,0,0,0,NaN,NaN
3660,3660,bolus,43.25,0,0,0,0,NaN,NaN
3720,3720,bolus,43.25,0,0,0,0,NaN,NaN
3780,3780,bolus,43.25,0,0,0,0,NaN,NaN
3840,3840,bolus,43.25,0,0,0,0,NaN,NaN
3900,3900,bolus,43.25,0,0,0,0,NaN,NaN
3960,3960,bolus,43.25,0,0,0,0,NaN,NaN
4020,4020,bolus,43.25,0,0,0,0,NaN,NaN
4080,4080,bolus,43.25,0,0,0,0,NaN,NaN
4140,4140,bolus,43.25,0,0,0,0,NaN,NaN
4200,4200,bolus,43.25,0,0,0,0,NaN,NaN
4260,4260,bolus,43.25,0,0,0,0,NaN,NaN
4320,4320,bolus,43.25,0,0,0,0,NaN,NaN
4380,4380,bolus,43.25,0,0,0,0,NaN,NaN
4440,4440,bolus,43.25,0,0,0,0,NaN,NaN
4500,4500,bolus,43.25,0,0,0,0,NaN,NaN
4560,4560,bolus,43.25,0,0,0,0,NaN,NaN
4620,4620,bolus,43.25,0,0,0,0,NaN,NaN
4680,4680,bolus,43.25,0,0,0,0,NaN,NaN
4740,4740,bolus,43.25,0,0,0,0,NaN,NaN
4800,4800,bolus,43.25,0,0,0,0,NaN,NaN
4860,4860,bolus,43.25,0,0,0,0,NaN,NaN
4920,4920,bolus,43.25,0,0,0,0,NaN,NaN
4980,4980,bolus,43.25,0,0,0,0,NaN,NaN
5040,5040,bolus,43.25,0,0,0,0,NaN,NaN
5100,5100,bolus,43.25,0,0,0,0,NaN,NaN
5160,5160,bolus,43.25,0,0,0,0,NaN,NaN
5220,5220,bolus,43.25,0,0,0,0,NaN,NaN
5280,5280,bolus,43.25,0,0,0,0,NaN,NaN
5340,5340,bolus,43.25,0,0,0,0,NaN,NaN
5400,5400,bolus,43.25,0,0,0,0,NaN,NaN
5460,5460,bolus,43.25,0,0,0,0,NaN,NaN
5520,5520,bolus,43.25,0,0,0,0,NaN,NaN
5580,5580,bolus,43.25,0,0,0,0,NaN,NaN
5640,5640,bolus,43.25,0,0,0,0,NaN,NaN
5700,5700,bolus,43.25,0,0,0,0,NaN,NaN
5760,5760,bolus,43.25,0,0,0,0,NaN,NaN
5820,5820,bolus,43.25,0,0,0,0,NaN,NaN
5880,5880,bolus,43.25,0,0,0,0,NaN,NaN
5940,5940,bolus,43.25,0,0,0,0,NaN,NaN
6000,6000,bolus,43.25,0,0,0,0,NaN,NaN
6060,6060,bolus,43.25,0,0,0,0,NaN,NaN
6120,6120,bolus,43.25,0,0,0,0,NaN,NaN
6180,6180,bolus,43.25,0,0,0,0,NaN,NaN
6240,6240,bolus,43.25,0,0,0,0,NaN,NaN
6300,6300,bolus,43.25,0,0,0,0,NaN,NaN
6360,6360,bolus,43.25,0,0,0,0,NaN,NaN
6420,6420,bolus,43.25,0,0,0,0,NaN,NaN
6480,6480,bolus,43.25,0,0,0,0,NaN,NaN
6540,6540,bolus,43.25,0,0,0,0,NaN,NaN
6600,6600,bolus,43.25,0,0,0,0,NaN,NaN
6660,6660,bolus,43.25,0,0,0,0,NaN,NaN
6720,6720,bolus,43.25,0,0,0,0,NaN,NaN
6780,6780,bolus,43.25,0,0,0,0,NaN,NaN
6840,6840,bolus,43.25,0,0,0,0,NaN,NaN
6900,6900,bolus,43.25,0,0,0,0,NaN,NaN
6960,6960,bolus,43.25,0,0,0,0,NaN,NaN
7020,7020,bolus,43.25,0,0,0,0,NaN,NaN
7080,7080,bolus,43.25,0,0,0,0,NaN,NaN
7140,7140,bolus,43.25,0,0,0,0,NaN,NaN
7200,7200,bolus,43.25,0,0,0,0,NaN,NaN
