start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
1060,1060,bolus,324.048540463321,0,0,0,0,NaN,NaN
1240,1240,bolus,324.048540463321,0,0,0,0,NaN,NaN
1420,1420,bolus,324.048540463321,0,0,0,0,NaN,NaN
2500,2500,bolus,324.048540463321,0,0,0,0,NaN,NaN
2680,2680,bolus,324.048540463321,0,0,0,0,NaN,NaN
2860,2860,bolus,324.048540463321,0,0,0,0,NaN,NaN
3940,3940,bolus,324.048540463321,0,0,0,0,NaN,NaN
4120,4120,bolus,324.048540463321,0,0,0,0,NaN,NaN
4300,4300,bolus,324.048540463321,0,0,0,0,NaN,NaN
5380,5380,bolus,324.048540463321,0,0,0,0,NaN,NaN
5560,5560,bolus,324.048540463321,0,0,0,0,NaN,NaN
5740,5740,bolus,324.048540463321,0,0,0,0,NaN,NaN
6820,6820,bolus,324.048540463321,0,0,0,0,NaN,NaN
7000,7000,bolus,324.048540463321,0,0,0,0,NaN,NaN
7180,7180,bolus,324.048540463321,0,0,0,0,NaN,NaN
