Time_min,Time_hr,DHFU_uM,FBAL_uM,Excreted_5FU_umol,Excreted_FBAL_umol,Excreted_Metabolites_umol
0,0,0,0,0,0,0
0.2,0.00333333333333333,0,0,0,0,0
0.4,0.00666666666666667,0,0,0,0,0
0.6,0.01,0,0,0,0,0
0.8,0.0133333333333333,0,0,0,0,0
1,0.0166666666666667,0,0,0,0,0
1.2,0.02,0,0,0,0,0
1.4,0.0233333333333333,0,0,0,0,0
1.6,0.0266666666666667,0,0,0,0,0
1.8,0.03,0,0,0,0,0
2,0.0333333333333333,0,0,0,0,0
2.2,0.0366666666666667,0,0,0,0,0
2.4,0.04,0,0,0,0,0
2.6,0.0433333333333333,0,0,0,0,0
2.8,0.0466666666666667,0,0,0,0,0
3,0.05,0,0,0,0,0
3.2,0.0533333333333333,0,0,0,0,0
3.4,0.0566666666666667,0,0,0,0,0
3.6,0.06,0,0,0,0,0
3.8,0.0633333333333333,0,0,0,0,0
4,0.0666666666666667,0,0,0,0,0
4.2,0.07,0,0,0,0,0
4.4,0.0733333333333333,0,0,0,0,0
4.6,0.0766666666666667,0,0,0,0,0
4.8,0.08,0,0,0,0,0
5,0.0833333333333333,0,0,0,0,0
5.2,0.0866666666666667,0,0,0,0,0
5.4,0.09,0,0,0,0,0
5.6,0.0933333333333333,0,0,0,0,0
5.8,0.0966666666666667,0,0,0,0,0
6,0.1,0,0,0,0,0
6.2,0.103333333333333,0,0,0,0,0
6.4,0.106666666666667,0,0,0,0,0
6.6,0.11,0,0,0,0,0
6.8,0.113333333333333,0,0,0,0,0
7,0.116666666666667,0,0,0,0,0
7.2,0.12,0,0,0,0,0
7.4,0.123333333333333,0,0,0,0,0
7.6,0.126666666666667,0,0,0,0,0
7.8,0.13,0,0,0,0,0
8,0.133333333333333,0,0,0,0,0
8.2,0.136666666666667,0,0,0,0,0
8.4,0.14,0,0,0,0,0
8.6,0.143333333333333,0,0,0,0,0
8.8,0.146666666666667,0,0,0,0,0
9,0.15,0,0,0,0,0
9.2,0.153333333333333,0,0,0,0,0
9.4,0.156666666666667,0,0,0,0,0
9.6,0.16,0,0,0,0,0
9.8,0.163333333333333,0,0,0,0,0
10,0.166666666666667,0,0,0,0,0
10.2,0.17,0,0,0,0,0
10.4,0.173333333333333,0,0,0,0,0
10.6,0.176666666666667,0,0,0,0,0
10.8,0.18,0,0,0,0,0
11,0.183333333333333,0,0,0,0,0
11.2,0.186666666666667,0,0,0,0,0
11.4,0.19,0,0,0,0,0
11.6,0.193333333333333,0,0,0,0,0
11.8,0.196666666666667,0,0,0,0,0
12,0.2,0,0,0,0,0
12.2,0.203333333333333,0,0,0,0,0
12.4,0.206666666666667,0,0,0,0,0
12.6,0.21,0,0,0,0,0
12.8,0.213333333333333,0,0,0,0,0
13,0.216666666666667,0,0,0,0,0
13.2,0.22,0,0,0,0,0
13.4,0.223333333333333,0,0,0,0,0
13.6,0.226666666666667,0,0,0,0,0
13.8,0.23,0,0,0,0,0
14,0.233333333333333,0,0,0,0,0
14.2,0.236666666666667,0,0,0,0,0
14.4,0.24,0,0,0,0,0
14.6,0.243333333333333,0,0,0,0,0
14.8,0.246666666666667,0,0,0,0,0
15,0.25,0,0,0,0,0
15.2,0.253333333333333,0,0,0,0,0
15.4,0.256666666666667,0,0,0,0,0
15.6,0.26,0,0,0,0,0
15.8,0.263333333333333,0,0,0,0,0
16,0.266666666666667,0,0,0,0,0
16.2,0.27,0,0,0,0,0
16.4,0.273333333333333,0,0,0,0,0
16.6,0.276666666666667,0,0,0,0,0
16.8,0.28,0,0,0,0,0
17,0.283333333333333,0,0,0,0,0
17.2,0.286666666666667,0,0,0,0,0
17.4,0.29,0,0,0,0,0
17.6,0.293333333333333,0,0,0,0,0
17.8,0.296666666666667,0,0,0,0,0
18,0.3,0,0,0,0,0
18.2,0.303333333333333,0,0,0,0,0
18.4,0.306666666666667,0,0,0,0,0
18.6,0.31,0,0,0,0,0
18.8,0.313333333333333,0,0,0,0,0
19,0.316666666666667,0,0,0,0,0
19.2,0.32,0,0,0,0,0
19.4,0.323333333333333,0,0,0,0,0
19.6,0.326666666666667,0,0,0,0,0
19.8,0.33,0,0,0,0,0
20,0.333333333333333,0,0,0,0,0
20.2,0.336666666666667,0,0,0,0,0
20.4,0.34,0,0,0,0,0
20.6,0.343333333333333,0,0,0,0,0
20.8,0.346666666666667,0,0,0,0,0
21,0.35,0,0,0,0,0
21.2,0.353333333333333,0,0,0,0,0
21.4,0.356666666666667,0,0,0,0,0
21.6,0.36,0,0,0,0,0
21.8,0.363333333333333,0,0,0,0,0
22,0.366666666666667,0,0,0,0,0
22.2,0.37,0,0,0,0,0
22.4,0.373333333333333,0,0,0,0,0
22.6,0.376666666666667,0,0,0,0,0
22.8,0.38,0,0,0,0,0
23,0.383333333333333,0,0,0,0,0
23.2,0.386666666666667,0,0,0,0,0
23.4,0.39,0,0,0,0,0
23.6,0.393333333333333,0,0,0,0,0
23.8,0.396666666666667,0,0,0,0,0
24,0.4,0,0,0,0,0
24.2,0.403333333333333,0,0,0,0,0
24.4,0.406666666666667,0,0,0,0,0
24.6,0.41,0,0,0,0,0
24.8,0.413333333333333,0,0,0,0,0
25,0.416666666666667,0,0,0,0,0
25.2,0.42,0,0,0,0,0
25.4,0.423333333333333,0,0,0,0,0
25.6,0.426666666666667,0,0,0,0,0
25.8,0.43,0,0,0,0,0
26,0.433333333333333,0,0,0,0,0
26.2,0.436666666666667,0,0,0,0,0
26.4,0.44,0,0,0,0,0
26.6,0.443333333333333,0,0,0,0,0
26.8,0.446666666666667,0,0,0,0,0
27,0.45,0,0,0,0,0
27.2,0.453333333333333,0,0,0,0,0
