start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
1000,1030,continuous,0,0.8312501243034985,0,0,0,,
1030,1060,continuous,0,0.821733497842138,0,0,0,,
1060,1090,continuous,0,0.8131282782397706,0,0,0,,
1090,1120,continuous,0,0.8055817031896106,0,0,0,,
1120,1150,continuous,0,0.799222896683072,0,0,0,,
1150,1180,continuous,0,0.7941606596624758,0,0,0,,
1180,1210,continuous,0,0.790481608406762,0,0,0,,
1210,1240,continuous,0,0.7882486925029412,0,0,0,,
1240,1270,continuous,0,0.7875001177612092,0,0,0,,
1270,1300,continuous,0,0.7882486925029412,0,0,0,,
1300,1330,continuous,0,0.790481608406762,0,0,0,,
1330,1360,continuous,0,0.7941606596624758,0,0,0,,
1360,1390,continuous,0,0.799222896683072,0,0,0,,
1390,1420,continuous,0,0.8055817031896106,0,0,0,,
1420,1450,continuous,0,0.8131282782397706,0,0,0,,
1450,1480,continuous,0,0.821733497842138,0,0,0,,
1480,1510,continuous,0,0.8312501243034985,0,0,0,,
1510,1540,continuous,0,0.8415153255065911,0,0,0,,
1540,1570,continuous,0,0.8523534610127792,0,0,0,,
1570,1600,continuous,0,0.8635790873186532,0,0,0,,
1600,1630,continuous,0,0.875000130845788,0,0,0,,
1630,1660,continuous,0,0.8864211743729227,0,0,0,,
1660,1690,continuous,0,0.8976468006787967,0,0,0,,
1690,1720,continuous,0,0.9084849361849848,0,0,0,,
1720,1750,continuous,0,0.9187501373880773,0,0,0,,
1750,1780,continuous,0,0.9282667638494378,0,0,0,,
1780,1810,continuous,0,0.9368719834518052,0,0,0,,
1810,1840,continuous,0,0.9444185585019654,0,0,0,,
1840,1870,continuous,0,0.9507773650085041,0,0,0,,
1870,1900,continuous,0,0.9558396020291001,0,0,0,,
1900,1930,continuous,0,0.959518653284814,0,0,0,,
1930,1960,continuous,0,0.9617515691886348,0,0,0,,
1960,1990,continuous,0,0.9625001439303668,0,0,0,,
1990,2020,continuous,0,0.9617515691886348,0,0,0,,
2020,2050,continuous,0,0.9595186532848141,0,0,0,,
2050,2080,continuous,0,0.9558396020291002,0,0,0,,
2080,2110,continuous,0,0.9507773650085041,0,0,0,,
2110,2140,continuous,0,0.9444185585019653,0,0,0,,
2140,2170,continuous,0,0.9368719834518052,0,0,0,,
2170,2200,continuous,0,0.928266763849438,0,0,0,,
2200,2230,continuous,0,0.9187501373880773,0,0,0,,
2230,2260,continuous,0,0.9084849361849849,0,0,0,,
2260,2290,continuous,0,0.8976468006787968,0,0,0,,
2290,2320,continuous,0,0.8864211743729229,0,0,0,,
2320,2350,continuous,0,0.875000130845788,0,0,0,,
2350,2380,continuous,0,0.8635790873186533,0,0,0,,
2380,2410,continuous,0,0.8523534610127791,0,0,0,,
2410,2440,continuous,0,0.8415153255065911,0,0,0,,
2440,2470,continuous,0,0.8312501243034985,0,0,0,,
2470,2500,continuous,0,0.821733497842138,0,0,0,,
2500,2530,continuous,0,0.8131282782397706,0,0,0,,
2530,2560,continuous,0,0.8055817031896106,0,0,0,,
2560,2590,continuous,0,0.7992228966830719,0,0,0,,
2590,2620,continuous,0,0.7941606596624758,0,0,0,,
2620,2650,continuous,0,0.790481608406762,0,0,0,,
2650,2680,continuous,0,0.7882486925029412,0,0,0,,
2680,2710,continuous,0,0.7875001177612092,0,0,0,,
2710,2740,continuous,0,0.7882486925029412,0,0,0,,
2740,2770,continuous,0,0.7904816084067618,0,0,0,,
2770,2800,continuous,0,0.7941606596624758,0,0,0,,
2800,2830,continuous,0,0.7992228966830719,0,0,0,,
2830,2860,continuous,0,0.8055817031896106,0,0,0,,
2860,2890,continuous,0,0.8131282782397707,0,0,0,,
2890,2920,continuous,0,0.821733497842138,0,0,0,,
2920,2950,continuous,0,0.8312501243034985,0,0,0,,
2950,2980,continuous,0,0.841515325506591,0,0,0,,
2980,3010,continuous,0,0.8523534610127792,0,0,0,,
3010,3040,continuous,0,0.8635790873186531,0,0,0,,
3040,3070,continuous,0,0.875000130845788,0,0,0,,
3070,3100,continuous,0,0.8864211743729226,0,0,0,,
3100,3130,continuous,0,0.8976468006787967,0,0,0,,
3130,3160,continuous,0,0.9084849361849848,0,0,0,,
3160,3190,continuous,0,0.9187501373880773,0,0,0,,
3190,3220,continuous,0,0.928266763849438,0,0,0,,
3220,3250,continuous,0,0.9368719834518052,0,0,0,,
3250,3280,continuous,0,0.9444185585019653,0,0,0,,
3280,3310,continuous,0,0.950777365008504,0,0,0,,
3310,3340,continuous,0,0.9558396020291001,0,0,0,,
3340,3370,continuous,0,0.959518653284814,0,0,0,,
3370,3400,continuous,0,0.9617515691886348,0,0,0,,
3400,3430,continuous,0,0.9625001439303668,0,0,0,,
3430,3460,continuous,0,0.9617515691886348,0,0,0,,
3460,3490,continuous,0,0.959518653284814,0,0,0,,
3490,3520,continuous,0,0.9558396020291001,0,0,0,,
3520,3550,continuous,0,0.950777365008504,0,0,0,,
3550,3580,continuous,0,0.9444185585019653,0,0,0,,
3580,3610,continuous,0,0.9368719834518053,0,0,0,,
3610,3640,continuous,0,0.928266763849438,0,0,0,,
3640,3670,continuous,0,0.9187501373880774,0,0,0,,
3670,3700,continuous,0,0.9084849361849849,0,0,0,,
3700,3730,continuous,0,0.8976468006787968,0,0,0,,
3730,3760,continuous,0,0.8864211743729227,0,0,0,,
3760,3790,continuous,0,0.875000130845788,0,0,0,,
3790,3820,continuous,0,0.8635790873186532,0,0,0,,
3820,3850,continuous,0,0.8523534610127793,0,0,0,,
3850,3880,continuous,0,0.841515325506591,0,0,0,,
3880,3910,continuous,0,0.8312501243034986,0,0,0,,
3910,3940,continuous,0,0.8217334978421381,0,0,0,,
3940,3970,continuous,0,0.8131282782397709,0,0,0,,
3970,4000,continuous,0,0.8055817031896105,0,0,0,,
4000,4030,continuous,0,0.799222896683072,0,0,0,,
4030,4060,continuous,0,0.7941606596624758,0,0,0,,
4060,4090,continuous,0,0.790481608406762,0,0,0,,
4090,4120,continuous,0,0.7882486925029412,0,0,0,,
4120,4150,continuous,0,0.7875001177612092,0,0,0,,
4150,4180,continuous,0,0.7882486925029412,0,0,0,,
4180,4210,continuous,0,0.7904816084067618,0,0,0,,
4210,4240,continuous,0,0.7941606596624758,0,0,0,,
4240,4270,continuous,0,0.799222896683072,0,0,0,,
4270,4300,continuous,0,0.8055817031896104,0,0,0,,
4300,4330,continuous,0,0.8131282782397706,0,0,0,,
4330,4360,continuous,0,0.821733497842138,0,0,0,,
4360,4390,continuous,0,0.8312501243034985,0,0,0,,
4390,4420,continuous,0,0.8415153255065911,0,0,0,,
4420,4450,continuous,0,0.8523534610127791,0,0,0,,
4450,4480,continuous,0,0.8635790873186531,0,0,0,,
4480,4510,continuous,0,0.8750001308457879,0,0,0,,
4510,4540,continuous,0,0.8864211743729228,0,0,0,,
4540,4570,continuous,0,0.8976468006787965,0,0,0,,
4570,4600,continuous,0,0.9084849361849847,0,0,0,,
4600,4630,continuous,0,0.9187501373880775,0,0,0,,
4630,4660,continuous,0,0.9282667638494378,0,0,0,,
4660,4690,continuous,0,0.9368719834518053,0,0,0,,
4690,4720,continuous,0,0.9444185585019652,0,0,0,,
4720,4750,continuous,0,0.9507773650085041,0,0,0,,
4750,4780,continuous,0,0.9558396020291001,0,0,0,,
4780,4810,continuous,0,0.959518653284814,0,0,0,,
4810,4840,continuous,0,0.9617515691886348,0,0,0,,
4840,4870,continuous,0,0.9625001439303668,0,0,0,,
4870,4900,continuous,0,0.9617515691886348,0,0,0,,
4900,4930,continuous,0,0.9595186532848141,0,0,0,,
4930,4960,continuous,0,0.9558396020291001,0,0,0,,
4960,4990,continuous,0,0.950777365008504,0,0,0,,
4990,5020,continuous,0,0.9444185585019653,0,0,0,,
5020,5050,continuous,0,0.9368719834518054,0,0,0,,
5050,5080,continuous,0,0.928266763849438,0,0,0,,
5080,5110,continuous,0,0.9187501373880774,0,0,0,,
5110,5140,continuous,0,0.9084849361849848,0,0,0,,
5140,5170,continuous,0,0.897646800678797,0,0,0,,
5170,5200,continuous,0,0.8864211743729229,0,0,0,,
5200,5230,continuous,0,0.8750001308457881,0,0,0,,
5230,5260,continuous,0,0.8635790873186532,0,0,0,,
5260,5290,continuous,0,0.8523534610127792,0,0,0,,
5290,5320,continuous,0,0.8415153255065912,0,0,0,,
5320,5350,continuous,0,0.8312501243034986,0,0,0,,
5350,5380,continuous,0,0.8217334978421381,0,0,0,,
5380,5410,continuous,0,0.8131282782397706,0,0,0,,
5410,5440,continuous,0,0.8055817031896108,0,0,0,,
5440,5470,continuous,0,0.799222896683072,0,0,0,,
5470,5500,continuous,0,0.7941606596624758,0,0,0,,
5500,5530,continuous,0,0.790481608406762,0,0,0,,
5530,5560,continuous,0,0.7882486925029412,0,0,0,,
5560,5590,continuous,0,0.7875001177612092,0,0,0,,
5590,5620,continuous,0,0.7882486925029412,0,0,0,,
5620,5650,continuous,0,0.7904816084067618,0,0,0,,
5650,5680,continuous,0,0.7941606596624757,0,0,0,,
5680,5710,continuous,0,0.799222896683072,0,0,0,,
5710,5740,continuous,0,0.8055817031896106,0,0,0,,
5740,5770,continuous,0,0.8131282782397705,0,0,0,,
5770,5800,continuous,0,0.8217334978421377,0,0,0,,
5800,5830,continuous,0,0.8312501243034985,0,0,0,,
5830,5860,continuous,0,0.8415153255065911,0,0,0,,
5860,5890,continuous,0,0.852353461012779,0,0,0,,
5890,5920,continuous,0,0.8635790873186534,0,0,0,,
5920,5950,continuous,0,0.8750001308457879,0,0,0,,
5950,5980,continuous,0,0.8864211743729227,0,0,0,,
5980,6010,continuous,0,0.8976468006787964,0,0,0,,
6010,6040,continuous,0,0.9084849361849849,0,0,0,,
6040,6070,continuous,0,0.9187501373880773,0,0,0,,
6070,6100,continuous,0,0.9282667638494378,0,0,0,,
6100,6130,continuous,0,0.9368719834518053,0,0,0,,
6130,6160,continuous,0,0.9444185585019654,0,0,0,,
6160,6190,continuous,0,0.9507773650085038,0,0,0,,
6190,6220,continuous,0,0.9558396020291,0,0,0,,
6220,6250,continuous,0,0.959518653284814,0,0,0,,
6250,6280,continuous,0,0.9617515691886348,0,0,0,,
6280,6310,continuous,0,0.9625001439303668,0,0,0,,
6310,6340,continuous,0,0.9617515691886348,0,0,0,,
6340,6370,continuous,0,0.9595186532848141,0,0,0,,
6370,6400,continuous,0,0.9558396020291001,0,0,0,,
6400,6430,continuous,0,0.9507773650085042,0,0,0,,
6430,6460,continuous,0,0.9444185585019653,0,0,0,,
6460,6490,continuous,0,0.9368719834518054,0,0,0,,
6490,6520,continuous,0,0.928266763849438,0,0,0,,
6520,6550,continuous,0,0.9187501373880776,0,0,0,,
6550,6580,continuous,0,0.9084849361849848,0,0,0,,
6580,6610,continuous,0,0.8976468006787967,0,0,0,,
