start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
1000,1000,bolus,105.822555318928,0,0,0,0,NaN,NaN
1120,1120,bolus,105.822555318928,0,0,0,0,NaN,NaN
1240,1240,bolus,105.822555318928,0,0,0,0,NaN,NaN
1360,1360,bolus,105.822555318928,0,0,0,0,NaN,NaN
1480,1480,bolus,105.822555318928,0,0,0,0,NaN,NaN
1600,1600,bolus,105.822555318928,0,0,0,0,NaN,NaN
1720,1720,bolus,105.822555318928,0,0,0,0,NaN,NaN
1840,1840,bolus,105.822555318928,0,0,0,0,NaN,NaN
1960,1960,bolus,105.822555318928,0,0,0,0,NaN,NaN
2080,2080,bolus,105.822555318928,0,0,0,0,NaN,NaN
2200,2200,bolus,105.822555318928,0,0,0,0,NaN,NaN
2320,2320,bolus,105.822555318928,0,0,0,0,NaN,NaN
2440,2440,bolus,105.822555318928,0,0,0,0,NaN,NaN
2560,2560,bolus,105.822555318928,0,0,0,0,NaN,NaN
2680,2680,bolus,105.822555318928,0,0,0,0,NaN,NaN
2800,2800,bolus,105.822555318928,0,0,0,0,NaN,NaN
2920,2920,bolus,105.822555318928,0,0,0,0,NaN,NaN
3040,3040,bolus,105.822555318928,0,0,0,0,NaN,NaN
3160,3160,bolus,105.822555318928,0,0,0,0,NaN,NaN
3280,3280,bolus,105.822555318928,0,0,0,0,NaN,NaN
3400,3400,bolus,105.822555318928,0,0,0,0,NaN,NaN
3520,3520,bolus,105.822555318928,0,0,0,0,NaN,NaN
3640,3640,bolus,105.822555318928,0,0,0,0,NaN,NaN
3760,3760,bolus,105.822555318928,0,0,0,0,NaN,NaN
3880,3880,bolus,105.822555318928,0,0,0,0,NaN,NaN
4000,4000,bolus,105.822555318928,0,0,0,0,NaN,NaN
4120,4120,bolus,105.822555318928,0,0,0,0,NaN,NaN
4240,4240,bolus,105.822555318928,0,0,0,0,NaN,NaN
4360,4360,bolus,105.822555318928,0,0,0,0,NaN,NaN
4480,4480,bolus,105.822555318928,0,0,0,0,NaN,NaN
4600,4600,bolus,105.822555318928,0,0,0,0,NaN,NaN
4720,4720,bolus,105.822555318928,0,0,0,0,NaN,NaN
4840,4840,bolus,105.822555318928,0,0,0,0,NaN,NaN
4960,4960,bolus,105.822555318928,0,0,0,0,NaN,NaN
5080,5080,bolus,105.822555318928,0,0,0,0,NaN,NaN
5200,5200,bolus,105.822555318928,0,0,0,0,NaN,NaN
5320,5320,bolus,105.822555318928,0,0,0,0,NaN,NaN
5440,5440,bolus,105.822555318928,0,0,0,0,NaN,NaN
5560,5560,bolus,105.822555318928,0,0,0,0,NaN,NaN
5680,5680,bolus,105.822555318928,0,0,0,0,NaN,NaN
5800,5800,bolus,105.822555318928,0,0,0,0,NaN,NaN
5920,5920,bolus,105.822555318928,0,0,0,0,NaN,NaN
6040,6040,bolus,105.822555318928,0,0,0,0,NaN,NaN
6160,6160,bolus,105.822555318928,0,0,0,0,NaN,NaN
6280,6280,bolus,105.822555318928,0,0,0,0,NaN,NaN
6400,6400,bolus,105.822555318928,0,0,0,0,NaN,NaN
6520,6520,bolus,105.822555318928,0,0,0,0,NaN,NaN
6640,6640,bolus,105.822555318928,0,0,0,0,NaN,NaN
6760,6760,bolus,105.822555318928,0,0,0,0,NaN,NaN
6880,6880,bolus,105.822555318928,0,0,0,0,NaN,NaN
7000,7000,bolus,105.822555318928,0,0,0,0,NaN,NaN
7120,7120,bolus,105.822555318928,0,0,0,0,NaN,NaN
7240,7240,bolus,105.822555318928,0,0,0,0,NaN,NaN
7360,7360,bolus,105.822555318928,0,0,0,0,NaN,NaN
7480,7480,bolus,105.822555318928,0,0,0,0,NaN,NaN
7600,7600,bolus,105.822555318928,0,0,0,0,NaN,NaN
7720,7720,bolus,105.822555318928,0,0,0,0,NaN,NaN
7840,7840,bolus,105.822555318928,0,0,0,0,NaN,NaN
7960,7960,bolus,105.822555318928,0,0,0,0,NaN,NaN
8080,8080,bolus,105.822555318928,0,0,0,0,NaN,NaN
8200,8200,bolus,105.822555318928,0,0,0,0,NaN,NaN
